university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
University of Reading,Reading Bursary,Need-Based Bursary,"£1,100/year","UK students with household income below £27,000.",Automatically assessed,
University of Reading,Subject Scholarships,Merit Scholarship,"Up to £2,000",Students entering specific departments (e.g. Henley Business School).,Varies,
University of Strathclyde,Faculty of Engineering/Science Excellence Scholarships,Merit Scholarship,"Up to £4,000/year fee reduction",International students with excellent academic profiles.,May,
University of Strathclyde,Strathclyde Excellence Scholarship,Merit Scholarship,"£1,500/year",UK (RUK) students achieving AAB or above.,Automatically assessed,
University of Strathclyde,Access Bursary,Need-Based Bursary,"Up to £1,500/year",UK/Scottish students from low-income backgrounds.,Automatically assessed,
University of St Andrews,International Excellence Scholarship,Merit/Need,"Up to £25,000/year",Outstanding international students demonstrating financial need.,February,
University of St Andrews,St Andrews Access Scholarship,Need-Based Bursary,"Up to £4,000/year",UK students from low-income households or widening access backgrounds.,April,
University of St Andrews,Saints Sport Scholarships,Talent Scholarship,Varies,Elite athletes competing at a high level.,Varies,
University of Surrey,International Excellence Scholarship,Merit Scholarship,"£5,000 fee reduction",International students achieving high grades (e.g. AAA/AAB).,No separate app required,
University of Surrey,Surrey Bursary,Need-Based Bursary,"Up to £3,000/year","UK students with household income below £30,000.",Automatically assessed,
University of Surrey,Performance/Sport Scholarships,Talent Scholarship,"Free coaching/gym access + up to £2,000",Students competing in high-level sports or performing arts.,October,
University of Sussex,Sussex Excellence Scholarship,Merit Scholarship,"£3,000 cash award in Year 1",UK/Home students achieving AAA or equivalent.,Automatically assessed,
University of Sussex,Chancellor's International Scholarship,Merit Scholarship,"£5,000 fee reduction",International students with excellent academic potential.,May,
University of Sussex,Sussex Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £25,000.",Automatically assessed,
