university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Florida State University,Presidential Scholars Program,Merit Scholarship,"Full cost of attendance + $12,000 enrichment",Top academic students. Highly selective.,Dec 1,
Florida State University,Out-of-State Tuition Waiver,Merit Scholarship,Full or partial out-of-state tuition waived,Non-Florida residents with outstanding academic records.,Dec 1,
Florida State University,Florida Bright Futures,State Merit,Up to 100% of tuition,Florida residents meeting state GPA and test score requirements.,Aug 31,
Fordham University,Cunniffe Presidential Scholarship,Merit Scholarship,"Full tuition, room, and board",Top 1% of admitted class; extraordinary academic and leadership profiles.,Nov 1,
Fordham University,Excellence in Theatre/Dance Scholarship,Merit Scholarship,Up to full tuition,Exceptional talent in performing arts.,Jan 1,
Fordham University,Fordham Tuition Grant,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile.,Feb 1,
George Washington University,Presidential Academic Scholarship,Merit Scholarship,"$10,000 to $30,000/year",Top academic performance. Automatically considered.,Jan 5,
George Washington University,Stephen Joel Trachtenberg Scholarship,Merit Scholarship,"Full tuition, room, board, and fees",Top DC high school students demonstrating leadership and academics.,Jan 5,
George Washington University,GW University Grant,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile.,Jan 5,
Georgia Institute of Technology (Georgia Tech),Stamps President's Scholars Program,Merit Scholarship,Full cost of attendance + enrichment fund,Top 1% of applicants; exceptional leadership and academics.,Oct 15 (Early Action),
Georgia Institute of Technology (Georgia Tech),G. Wayne Clough Tech Promise Program,Need-Based Grant,Covers full cost without loans,"Georgia residents with family income under $33,300.",Jan 31,
Georgia Institute of Technology (Georgia Tech),HOPE/Zell Miller Scholarships,State Merit,Partial to full tuition,Georgia residents meeting state GPA and rigor requirements.,State deadline,
Indiana University Bloomington,Wells Scholars Program,Merit Scholarship,"Full tuition, fees, and living stipend",Outstanding academics and leadership; nomination required.,Nov 1,
Indiana University Bloomington,Dean's Scholarship,Merit Scholarship,"$1,000 to $11,000/year",Out-of-state students demonstrating academic excellence.,Nov 1,
Indiana University Bloomington,Provost's Scholarship,Merit Scholarship,"$1,000 to $8,000/year",In-state students demonstrating academic excellence.,Nov 1,
Iowa State University,Journey to Iowa Scholar,Merit Scholarship,"$8,500 to $11,000/year",Out-of-state students meeting specific GPA/test score criteria.,March 1,
Iowa State University,MVP Award (Multicultural Vision Program),Merit/Need,Full tuition,In-state minority or first-gen students with financial need.,Jan 15,
Iowa State University,Iowa State Grant,Need-Based Grant,Varies,In-state students demonstrating need via FAFSA.,Dec 1,
Lehigh University,Asa Packer Scholarship,Merit Scholarship,Full tuition,Exceptional academic and extracurricular achievement.,Jan 1,
Lehigh University,Dean's Scholars,Merit Scholarship,"$12,000/year",Outstanding academic performance.,Jan 1,
Lehigh University,Lehigh University Grant,Need-Based Grant,Meets 100% of demonstrated need,Students with financial need via CSS Profile.,Jan 1,
Loyola University Chicago,Presidential Scholarship,Merit Scholarship,"$20,000 to $25,000/year",Top academic performance upon admission.,Dec 1,
Loyola University Chicago,Ignatian Scholarship,Merit Scholarship,Up to full tuition,High-achieving students demonstrating Jesuit values.,Feb 1,
Loyola University Chicago,Loyola Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA.,March 1,
Michigan State University,Alumni Distinguished Scholarship,Merit Scholarship,"Full tuition, room, and board",Top high school seniors; requires participation in the ADS exam.,Nov 1,
Michigan State University,Spartan Advantage Program,Need-Based Grant,"Full tuition, room, and board",Michigan residents who are Pell Grant eligible.,March 1,
Michigan State University,Honors College Excellence Scholarship,Merit Scholarship,"$13,000/year (out-of-state)",Non-resident students invited to the Honors College.,Nov 1,
Northeastern University,Northeastern National Scholars Program,Merit Scholarship,Full tuition,National Merit Finalists.,Jan 1,
Northeastern University,Dean's Scholarship,Merit Scholarship,"$10,000 to $28,000/year",Top 10-15% of applicant pool.,Jan 1,
Northeastern University,Northeastern Promise,Need-Based Grant,Meets 100% of demonstrated need,Meets full demonstrated need for all admitted students.,Jan 1,
Ohio State University,Eminence Fellows Scholarship,Merit Scholarship,"Full cost of attendance + $3,000 enrichment",Top academic students; highly competitive.,Nov 1,
Ohio State University,Morrill Scholarship Program (MSP),Merit/Diversity,Full tuition to full cost of attendance,Academically exceptional students engaged in diversity-based leadership.,Nov 1,
Ohio State University,National Buckeye Scholarship,Merit Scholarship,"$13,500/year",Out-of-state students demonstrating high academic achievement.,Nov 1,
Oregon State University,Presidential Scholarship,Merit Scholarship,"$10,000/year",Top in-state students demonstrating exceptional academic achievement.,Feb 1,
Oregon State University,Provost Scholarship,Merit Scholarship,"$2,000 to $12,000/year",Out-of-state students demonstrating academic excellence.,Feb 1,
Oregon State University,Bridge to Success,Need-Based Grant,Full tuition,Oregon residents who are Pell Grant eligible.,March 1,
Pennsylvania State University (Penn State),Schreyer Honors College Scholarships,Merit Scholarship,"$5,000/year",Students admitted to the Schreyer Honors College.,Dec 1,
Pennsylvania State University (Penn State),Provost Award,Merit Scholarship,"$5,000 to $7,000/year",Out-of-state students demonstrating academic excellence.,Dec 1,
Pennsylvania State University (Penn State),Discover Penn State Award,Merit Scholarship,"$6,000/year",Out-of-state students from select states attending a Commonwealth Campus.,Dec 1,
Pepperdine University,Regents' Scholars Program,Merit Scholarship,Full tuition,Top 10% of admitted students based on GPA and standardized tests.,Jan 15,
Pepperdine University,George Pepperdine Scholarship,Merit Scholarship,"$5,000 to $12,000/year",Admitted students demonstrating academic excellence.,Jan 15,
Pepperdine University,Pepperdine Grant,Need-Based Grant,Varies,Students demonstrating financial need via FAFSA.,Feb 15,
Purdue University,Trustees Scholarship,Merit Scholarship,"$10,000 to $16,000/year",Top out-of-state students demonstrating academic excellence.,Nov 1,
Purdue University,Presidential Scholarship,Merit Scholarship,"$5,000 to $10,000/year",High academic achieving students.,Nov 1,
Purdue University,Purdue Promise,Need-Based Grant,Varies up to full need,Indiana residents who are 21st Century Scholars and Pell-eligible.,March 1,
Rutgers University – New Brunswick,Presidential Scholarship,Merit Scholarship,"Full tuition, room, and board",Top high school seniors demonstrating exceptional academic achievement.,Dec 1,
Rutgers University – New Brunswick,Scarlet Promise Grant,Need-Based Grant,Varies,Students demonstrating financial need.,March 1,
Rutgers University – New Brunswick,Rutgers National Scholarship,Merit Scholarship,"$10,000/year",Out-of-state students demonstrating high academic achievement.,Dec 1,
SMU (Southern Methodist University),President's Scholars Program,Merit Scholarship,"Full tuition, fees, and study abroad",Top academic students; requires invitation to interview.,Jan 15,
SMU (Southern Methodist University),Hunt Leadership Scholars Program,Merit Scholarship,"$44,000/year",Outstanding leadership ability and academic record. Requires separate app.,Jan 15,
SMU (Southern Methodist University),SMU Opportunity Award,Need-Based Grant,Varies,Meets 100% of demonstrated need for Texas residents.,Jan 15,
Stevens Institute of Technology,Ann P. Neupauer Scholarship,Merit Scholarship,Full tuition,Top incoming students demonstrating exceptional academic performance.,Jan 15,
Stevens Institute of Technology,Edwin A. Stevens Scholarship,Merit Scholarship,Varies,Outstanding academic achievement.,Jan 15,
Stevens Institute of Technology,Stevens Grant,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile and FAFSA.,Feb 15,
Stony Brook University (SUNY),University Scholars,Merit Scholarship,"$3,000 to $5,000/year",Top 7% of admitted class; excellent academics and leadership.,Jan 15,
Stony Brook University (SUNY),Excelsior Scholarship,State Grant,Covers SUNY tuition,New York residents with family income up to $125k.,State deadline,
Stony Brook University (SUNY),Honors College Scholarship,Merit Scholarship,Full tuition (In-State) or Partial (Out-of-State),Admitted into the Honors College.,Jan 15,
Syracuse University,Coronet Scholar Award,Merit Scholarship,Full tuition,Exceptional academic achievement and leadership. Limited awards.,Jan 5,
Syracuse University,Founders' Scholarship,Merit Scholarship,"$20,000/year",Strong academic performance.,Jan 5,
Syracuse University,Syracuse University Grant,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile.,Jan 5,
Temple University,President's Scholar Award,Merit Scholarship,Full tuition,Top high school seniors with outstanding GPA/Test scores.,Feb 1,
Temple University,Provost's Scholar Award,Merit Scholarship,"$10,000 to partial tuition",Excellent academic record.,Feb 1,
Temple University,Fly in 4 Grant,Need-Based Grant,"$4,000/year",Pell-eligible students committing to graduate in 4 years.,Feb 1,
Texas A&M University,Brown Foundation Scholars,Merit Scholarship,Full cost of attendance,Top academic performance and leadership. Highly selective.,Dec 1,
Texas A&M University,President's Endowed Scholarship,Merit Scholarship,"$12,000 total ($3k/yr)",High achieving freshmen.,Dec 1,
Texas A&M University,Aggie Assurance,Need-Based Grant,Covers tuition,"Texas residents with family income under $60,000.",March 15,
University of Connecticut,Stamps Scholar,Merit Scholarship,Full cost of attendance + enrichment fund,Top incoming freshmen demonstrating leadership and academic excellence.,Dec 1,
University of Connecticut,Nutmeg Scholarship,Merit Scholarship,"Full tuition, room, and board",Outstanding Connecticut residents.,Dec 1,
University of Connecticut,UConn Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA.,Feb 15,
University of Colorado Boulder,Chancellor's Achievement Scholarship,Merit Scholarship,"$25,000 over 4 years",Top out-of-state students.,Nov 15 (Early Action),
University of Colorado Boulder,Presidential Scholarship,Merit Scholarship,"$55,000 over 4 years",Top out-of-state students.,Nov 15,
University of Colorado Boulder,CU Promise,Need-Based Grant,Covers tuition and fees,Colorado residents who are Pell Grant eligible.,March 1,
"University of California, Davis",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees,California residents with family income below $80k.,March 2,
"University of California, Davis",Regents Scholarship,Merit Scholarship,"$7,500 honorarium or up to full need",Top entering students based on academic excellence.,Nov 30 (UC App),
"University of California, Davis",Provost Award,Merit Scholarship,"Up to $40,000 total",Out-of-state/international students demonstrating high academic achievement.,Nov 30,
"University of California, Irvine",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees,California residents with family income below $80k.,March 2,
"University of California, Irvine",Regents' Scholarship,Merit Scholarship,Honorarium or up to full need,Outstanding entering students.,Nov 30,
"University of California, Irvine",Chancellor's Excellence Scholarship,Merit Scholarship,Varies,High achieving incoming students.,Nov 30,
"University of California, Santa Barbara (UCSB)",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees,California residents with family income below $80k.,March 2,
"University of California, Santa Barbara (UCSB)",Regents Scholarship,Merit Scholarship,Honorarium or up to full need,Top entering students based on academic excellence.,Nov 30,
"University of California, Santa Barbara (UCSB)",UCSB Scholarship,Need-Based Grant,Varies,Admitted students with financial need.,March 2,
"University of California, San Diego (UCSD)",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees,California residents with family income below $80k.,March 2,
"University of California, San Diego (UCSD)",Regents Scholarship,Merit Scholarship,"$2,000 honorarium or up to full need",Top entering students.,Nov 30,
"University of California, San Diego (UCSD)",Chancellor's Scholarship,Merit Scholarship,"$5,000/year",Top entering students demonstrating leadership and academic excellence.,Nov 30,
University of Illinois Urbana-Champaign,Stamps Scholarship,Merit Scholarship,"Full cost of attendance + $12,000 enrichment",Top incoming freshmen.,Nov 1 (Early Action),
University of Illinois Urbana-Champaign,Illinois Commitment,Need-Based Grant,Full tuition and fees,"Illinois residents with family income under $67,100.",March 1,
University of Illinois Urbana-Champaign,President's Award Program (PAP),Merit/Diversity,Varies,High achieving students from underrepresented backgrounds.,Nov 1,
"University of Maryland, College Park",Banneker/Key Scholarship,Merit Scholarship,"Partial to full tuition, room, and board",Top 1-2% of admitted freshmen.,Nov 1 (Early Action),
"University of Maryland, College Park",President's Scholarship,Merit Scholarship,"$2,000 to $12,500/year",Outstanding incoming freshmen.,Nov 1,
"University of Maryland, College Park",UMD Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA.,Jan 1,
"University of Minnesota, Twin Cities",National Scholarship,Merit Scholarship,"$2,500 to $15,000/year",Out-of-state students demonstrating academic excellence.,Dec 15,
"University of Minnesota, Twin Cities",Presidential Scholarship,Merit Scholarship,"$1,000 to $10,000/year",In-state students demonstrating academic excellence.,Dec 15,
"University of Minnesota, Twin Cities",U of M Promise Scholarship,Need-Based Grant,Varies,"Minnesota residents with family incomes up to $120,000.",March 1,
University of North Carolina at Chapel Hill,Morehead-Cain Scholarship,Merit Scholarship,Full cost of attendance + summer enrichment,"Outstanding leadership, character, scholarship, and physical vigor.",Oct 15,
University of North Carolina at Chapel Hill,Robertson Scholars Leadership Program,Merit Scholarship,"Full tuition, room, and board + summer funding",Demonstrated leadership and intellectual curiosity. Joint program with Duke.,Nov 15,
University of North Carolina at Chapel Hill,Carolina Covenant,Need-Based Grant,Full cost without loans,Students from low-income families (income under 200% of poverty guidelines).,March 1,
University at Buffalo (SUNY),Presidential Scholarship,Merit Scholarship,"Full tuition, fees, room, and board",Top incoming freshmen.,Dec 15,
University at Buffalo (SUNY),Provost Scholarship,Merit Scholarship,"$5,000/year",High achieving incoming freshmen.,Dec 15,
University at Buffalo (SUNY),Excelsior Scholarship,State Grant,Covers SUNY tuition,New York residents with family income up to $125k.,State deadline,
University of Florida,Lombardi and Stamps Scholars Program,Merit Scholarship,Varies + enrichment fund,Outstanding leadership and academic achievement. Requires nomination.,Nov 1,
University of Florida,Machen Florida Opportunity Scholars,Need-Based Grant,Full cost of attendance,First-generation Florida residents from low-income backgrounds.,Jan 15,
University of Florida,Florida Bright Futures,State Merit,Up to 100% of tuition,Florida residents meeting state GPA/test requirements.,Aug 31,
University of Georgia,Foundation Fellowship,Merit Scholarship,Full cost of attendance + travel grants,Top 1% of applicants. Extraordinary academic and leadership profiles.,Nov 1,
University of Georgia,Bernard Ramsey Honors Scholarship,Merit Scholarship,Varies + travel grants,Top applicants demonstrating academic excellence.,Nov 1,
University of Georgia,HOPE/Zell Miller Scholarships,State Merit,Partial to full tuition,Georgia residents meeting state requirements.,State deadline,
University of Iowa,National Scholars Award,Merit Scholarship,"$2,000 to $12,000/year",Out-of-state students demonstrating high academic achievement.,March 1,
University of Iowa,Iowa Flagship Award,Merit Scholarship,"$1,000 to $8,500/year",In-state students demonstrating high academic achievement.,March 1,
University of Iowa,Iowa Tuition Grant,Need-Based Grant,Varies,In-state students with financial need.,March 1,
University of Pittsburgh,Chancellor's Scholarship,Merit Scholarship,"Full tuition, room, and board",Outstanding academics. Requires separate application.,Dec 1,
University of Pittsburgh,University Honors College Scholarships,Merit Scholarship,Varies,Students admitted to the Honors College.,Dec 1,
University of Pittsburgh,Pitt Pell Plus Program,Need-Based Grant,Matches Pell Grant amount,Students receiving the Federal Pell Grant.,March 1,
University of Washington,Husky Promise,Need-Based Grant,Full tuition and standard fees,Washington residents who are Pell Grant or State Need Grant eligible.,Feb 28,
University of Washington,Purple and Gold Scholarship,Merit Scholarship,Varies,Out-of-state students demonstrating academic excellence.,Nov 15,
University of Washington,Presidential Scholarship,Merit Scholarship,"$10,000/year",In-state residents with outstanding academic records.,Nov 15,
University of Texas at Austin,Forty Acres Scholars Program,Merit Scholarship,Full cost of attendance + enrichment fund,Top academic and leadership profiles. Requires separate application via Texas Exes.,Dec 1,
University of Texas at Austin,Texas Advance Commitment,Need-Based Grant,Tuition coverage,"Texas residents with family income under $65,000 get full tuition covered. Under $125k get partial.",March 15,
University of Texas at Austin,Presidential Scholars,Merit Scholarship,Varies,Outstanding academic achievement.,Dec 1,
University of Wisconsin-Madison,Bucky's Tuition Promise,Need-Based Grant,Full tuition and segregated fees,"Wisconsin residents with family income under $65,000.",Dec 1,
University of Wisconsin-Madison,Chancellor's Scholarship Program,Merit Scholarship,Full tuition and book stipend,Academically outstanding students from historically underrepresented backgrounds.,Feb 1,
University of Wisconsin-Madison,Wisconsin Alumni Association Scholarships,Merit Scholarship,Varies,Varies based on region and alumni chapter.,Feb 1,
Virginia Tech,Presidential Scholarship Initiative,Need-Based Grant,"Full tuition, room, board, and fees",Virginia residents with high financial need who are academically competitive.,Jan 22,
Virginia Tech,Pamplin Scholars Program,Merit Scholarship,Varies,Top students admitted to the Pamplin College of Business.,Jan 22,
Virginia Tech,Virginia Tech Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA.,March 1,
Worcester Polytechnic Institute (WPI),Presidential Scholarship,Merit Scholarship,"$15,000 to $25,000/year",Top academic performance upon admission.,Jan 15,
Worcester Polytechnic Institute (WPI),WPI Global Scholarship,Merit Scholarship,"$5,000 one-time award",Funding for the Global Projects Program.,Jan 15,
Worcester Polytechnic Institute (WPI),WPI Need-Based Scholarship,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile and FAFSA.,Feb 1,
Yeshiva University,Honors Program Scholarships,Merit Scholarship,Up to full tuition,Exceptional high school academic record. Must apply to the Honors Program.,Dec 15,
Yeshiva University,Dean's Scholarship,Merit Scholarship,Varies,Outstanding academic performance.,Dec 15,
Yeshiva University,Yeshiva University Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA.,Feb 15,
