university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Dartmouth College,Federal SEOG,Federal Grant,Varies,Exceptional financial need; Pell Grant recipients prioritized,FAFSA Priority Deadline,https://financialaid.dartmouth.edu/types-aid/grants-scholarships
Dartmouth College,Outside Scholarships,External/Merit,Varies,Varies by provider (used to reduce student contribution/work expectation),Varies by organization,https://financialaid.dartmouth.edu/types-aid/grants-scholarships
Harvard University,Harvard Scholarship / Harvard Financial Aid Initiative,Need-Based Grant,"Covers 100% of demonstrated need (often free tuition for incomes under $85,000)",Demonstrated financial need; international students evaluated exactly as domestic students,Restrictive Early Action / Regular Decision deadlines,https://college.harvard.edu/financial-aid/types-aid/scholarships-grants
Harvard University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://college.harvard.edu/financial-aid/types-aid/scholarships-grants
Harvard University,Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need; Pell Grant eligible,Determined by FAFSA,https://college.harvard.edu/financial-aid/types-aid/scholarships-grants
Harvard University,Outside Awards,External/Merit,Varies,Merit or specific criteria from external organizations,Varies by organization,https://college.harvard.edu/financial-aid/types-aid/scholarships-grants
Princeton University,Princeton University Grant,Need-Based Grant,"Varies up to full cost of attendance (often free tuition/board for incomes under $100,000)",Demonstrated financial need; international students evaluated exactly as domestic students,Single-Choice Early Action / Regular Decision deadlines,https://admission.princeton.edu/cost-aid/financial-aid
Princeton University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://admission.princeton.edu/cost-aid/financial-aid
Princeton University,Federal SEOG,Federal Grant,Varies,Exceptional financial need; Pell Grant recipients prioritized,Determined by FAFSA,https://admission.princeton.edu/cost-aid/financial-aid
Princeton University,Outside Scholarships,External/Merit,Varies,Used to reduce the student contribution/campus job requirement,Varies by organization,https://admission.princeton.edu/cost-aid/financial-aid
University of Pennsylvania,Penn Grant,Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need; domestic and Canadian/Mexican students,Early Decision/Regular Decision deadlines,https://srfs.upenn.edu/financial-aid/grants-and-scholarships
University of Pennsylvania,Named/Endowed Scholarships,Need-Based/Endowed,Varies,"Based on donor criteria (e.g. hometown, major) but awarded strictly based on financial need",No separate application,https://srfs.upenn.edu/financial-aid/grants-and-scholarships
University of Pennsylvania,Mayor's Scholarship,Need-Based/Endowed,Varies,Highly qualified students from Philadelphia public/charter schools with financial need,Regular Decision deadline,https://srfs.upenn.edu/financial-aid/grants-and-scholarships
University of Pennsylvania,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,FAFSA Priority Deadline,https://srfs.upenn.edu/financial-aid/grants-and-scholarships
University of Pennsylvania,PHEAA State Grant,State Grant,Varies,Pennsylvania residents with financial need,May 1,https://srfs.upenn.edu/financial-aid/grants-and-scholarships
Yale University,Yale Scholarship,Need-Based Grant,"Varies from a few hundred dollars to over $80,000/year",Demonstrated financial need; calculated strictly on family income/assets,Single-Choice Early Action / Regular Decision deadlines,https://finaid.yale.edu/costs-affordability/types-aid/scholarships-and-grants
Yale University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.yale.edu/costs-affordability/types-aid/scholarships-and-grants
Yale University,Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need; Pell Grant eligible,Determined by FAFSA,https://finaid.yale.edu/costs-affordability/types-aid/scholarships-and-grants
Yale University,Outside Scholarships,External/Merit,Varies,Used to meet the Student Share or reduce student contribution,Varies by organization,https://finaid.yale.edu/costs-affordability/types-aid/scholarships-and-grants
Yale University,Yale Endowed Scholarships,Need-Based/Endowed,Varies,Funded by alumni/donors; criteria varies but purely awarded to meet demonstrated need,No separate application,https://finaid.yale.edu/costs-affordability/types-aid/scholarships-and-grants
