university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Massachusetts Institute of Technology (MIT),Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need,Determined by FAFSA,https://sfs.mit.edu/undergraduate-financial-aid/types-of-aid/mit-scholarships/
Massachusetts Institute of Technology (MIT),Outside Scholarships,External/Merit,Varies,Used to reduce the student's self-help expectation (work-study) before reducing the MIT Scholarship.,Varies by organization,https://sfs.mit.edu/undergraduate-financial-aid/types-of-aid/mit-scholarships/
Northwestern University,Northwestern University Scholarship,Need-Based Grant,Varies up to full cost of attendance,Meets 100% of demonstrated need without loans for domestic students.,Regular Decision deadline,https://undergradaid.northwestern.edu/types-of-aid/scholarships-grants/
Northwestern University,Good Neighbor Great University Scholarship,Need-Based Grant,Varies,Students who graduate from a Chicago or Evanston high school demonstrating financial need.,No separate application,https://undergradaid.northwestern.edu/types-of-aid/scholarships-grants/
Northwestern University,Federal Pell Grant & SEOG,Federal Grant,Varies,High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://undergradaid.northwestern.edu/types-of-aid/scholarships-grants/
Northwestern University,Illinois MAP Grant,State Grant,Varies,Illinois residents demonstrating financial need.,State deadline,https://undergradaid.northwestern.edu/types-of-aid/scholarships-grants/
New York University (NYU),AnBryce Scholarships,Merit/Need Scholarship,Full tuition,Academically motivated students who are the first in their family to attend college and demonstrate financial need.,Regular Decision deadline,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
New York University (NYU),Lenape Scholarship,Merit/Need Scholarship,Varies,For students demonstrating a commitment to Native American or Indigenous communities.,Regular Decision deadline,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
New York University (NYU),"Martin Luther King, Jr. Scholars Program",Merit Scholarship,Varies,Students with a demonstrated commitment to social justice and the legacy of Dr. King.,Regular Decision deadline,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
New York University (NYU),Presidential Honors Scholars,Merit Scholarship,Varies,Exceptional academic achievement across NYU's various undergraduate colleges.,No separate application,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
New York University (NYU),NYU Promise (Need-Based Grant),Need-Based Grant,Full tuition or more,"Meets 100% of demonstrated financial need. Families with income under $100,000 pay no tuition.",Early/Regular Decision deadlines,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
New York University (NYU),New York State TAP,State Grant,"Up to $5,665/year",New York State residents attending college in NY,State deadline,https://www.nyu.edu/admissions/financial-aid-and-scholarships.html
Rice University,Trustee Distinguished Scholarships,Merit Scholarship,Varies,Exceptional academic and personal accomplishment.,No separate application,https://financialaid.rice.edu/types-aid/scholarships-grants
Rice University,Century Scholars Program,Merit Scholarship,Varies + faculty mentorship/research stipend,Demonstrated aptitude for research and academics.,No separate application,https://financialaid.rice.edu/types-aid/scholarships-grants
Rice University,Barbara Jordan Scholarship,Merit Scholarship,Varies,Students who have distinguished themselves in building bridges across communities.,No separate application,https://financialaid.rice.edu/types-aid/scholarships-grants
Rice University,The Rice Investment,Need-Based Grant,"Full tuition, room & board (if <$75k income); Full tuition (if $75k-$140k); Half tuition (if $140k-$200k)",Domestic students whose family income falls within the specified tiers.,Regular Decision deadline,https://financialaid.rice.edu/types-aid/scholarships-grants
Stanford University,Stanford Fund Scholarship,Need-Based Grant,"Varies (often full tuition/room/board for incomes <$100,000)",Meets 100% of demonstrated financial need. No merit scholarships offered.,Restrictive Early Action / Regular Decision deadlines,https://financialaid.stanford.edu/undergrad/types/
Stanford University,Federal Pell & SEOG Grants,Federal Grant,Varies,High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://financialaid.stanford.edu/undergrad/types/
Stanford University,Cal Grant,State Grant,Varies,California residents meeting income and GPA requirements.,March 2,https://financialaid.stanford.edu/undergrad/types/
Stanford University,Outside Scholarships,External/Merit,Varies,Used to reduce the student expectation (summer earnings/academic year work) before reducing Stanford funds.,Varies by organization,https://financialaid.stanford.edu/undergrad/types/
Tufts University,Tufts Grant,Need-Based Grant,Varies up to full cost,"Meets 100% of demonstrated financial need. Tufts does not offer merit-based, athletic, or academic scholarships.",Early/Regular Decision deadlines,https://students.tufts.edu/financial-services/financial-aid/types-aid/grants-and-scholarships
Tufts University,Federal Pell & SEOG Grants,Federal Grant,Varies,High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://students.tufts.edu/financial-services/financial-aid/types-aid/grants-and-scholarships
Tufts University,State Grants,State Grant,Varies,State residents meeting income requirements (varies by state).,Varies by state,https://students.tufts.edu/financial-services/financial-aid/types-aid/grants-and-scholarships
Tulane University,Deans' Honor Scholarship,Merit Scholarship,Full tuition,"Outstanding academic achievement, test scores, and a creative project. Requires separate application.",Dec 5,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
Tulane University,Paul Tulane Award,Merit Scholarship,Full tuition,Exceptional academic achievement and leadership. Requires separate application.,Dec 5,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
Tulane University,Stamps Scholarship,Merit Scholarship,Full cost of attendance + enrichment fund,Top-tier academic performance and demonstrated leadership.,Dec 5,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
Tulane University,Community Service Fellowship,Merit Scholarship,"Up to $5,000 to full tuition",Demonstrated commitment to community service and leadership.,Dec 5,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
Tulane University,Global Scholarship,Merit Scholarship,Varies (partial to full tuition),Outstanding international students.,Dec 5,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
Tulane University,Tulane Need-Based Scholarship,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile and FAFSA.,Early/Regular Decision deadlines,https://financialaid.tulane.edu/types-of-aid/gifts/undergraduate/merit-based
"University of California, Los Angeles (UCLA)",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees covered,"California residents with family income below $80,000.",March 2 (FAFSA/CADAA deadline),https://financialaid.ucla.edu/types-of-aid/scholarships
"University of California, Los Angeles (UCLA)",Middle Class Scholarship,State Grant,10% to 40% of tuition,"California residents with family income up to $201,000.",March 2,https://financialaid.ucla.edu/types-of-aid/scholarships
"University of California, Los Angeles (UCLA)",Regents Scholarship,Merit Scholarship,"$2,000 honorarium or up to full need",Top entering students based on academic excellence. Invited to apply after admission.,Varies (By invitation),https://financialaid.ucla.edu/types-of-aid/scholarships
"University of California, Los Angeles (UCLA)",Alumni Scholarships,Merit Scholarship,"$1,500 to $5,000/year","Academic excellence, leadership, and community involvement. Open to all students.",Requires separate application through Alumni Association,https://financialaid.ucla.edu/types-of-aid/scholarships
"University of California, Los Angeles (UCLA)",UCLA Achievement Scholarship,Merit/Need,Varies,High-achieving students from low-income backgrounds.,No separate application,https://financialaid.ucla.edu/types-of-aid/scholarships
"University of California, Berkeley (UC Berkeley)",Blue and Gold Opportunity Plan,State/Institutional Grant,Systemwide tuition and fees covered,"California residents with family income below $80,000.",March 2 (FAFSA/CADAA deadline),https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
"University of California, Berkeley (UC Berkeley)",Middle Class Scholarship,State Grant,10% to 40% of tuition,"California residents with family income up to $201,000.",March 2,https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
"University of California, Berkeley (UC Berkeley)",UC Berkeley Undergraduate Scholarships,Need-Based/Merit,Varies,Admitted students with financial need and a minimum 3.0 GPA.,March 2,https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
"University of California, Berkeley (UC Berkeley)",Regents' and Chancellor's Scholarship,Merit Scholarship,"Honorarium of $2,000 or up to full need",Top 1-2% of entering class based on academic excellence and leadership.,No separate application (Admissions application),https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
"University of California, Berkeley (UC Berkeley)",Fiat Lux Scholarship,Merit/Need,Varies,Students from partner high schools in California who show academic achievement and financial need.,No separate application,https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
"University of California, Berkeley (UC Berkeley)",Cal Grant A/B,State Grant,Up to full systemwide tuition,California residents meeting income/asset ceilings and GPA requirements.,March 2,https://financialaid.berkeley.edu/types-of-aid-at-berkeley/scholarships/
University of Chicago,Odyssey Scholarship Program,Need-Based/Merit,"Comprehensive support including tuition, room, board, and study abroad",Outstanding students from lower-income families or who are the first in their families to attend college.,No separate application,https://financialaid.uchicago.edu/undergraduate/types-aid/scholarships-grants
University of Chicago,University Scholars,Merit Scholarship,Varies,Outstanding academic extracurricular achievement and leadership.,No separate application,https://financialaid.uchicago.edu/undergraduate/types-aid/scholarships-grants
University of Chicago,National Police and Fire Scholarship,Merit/Need,Up to full tuition,"Children of professional, active-duty/killed-in-action police officers and firefighters.",No separate application,https://financialaid.uchicago.edu/undergraduate/types-aid/scholarships-grants
University of Chicago,UChicago Promise / UChicago Empower,Need-Based Grant,Full tuition (for family income <$125k),Meets 100% of demonstrated need without loans.,Regular Decision deadline,https://financialaid.uchicago.edu/undergraduate/types-aid/scholarships-grants
"University of Michigan, Ann Arbor",Go Blue Guarantee,State/Institutional Grant,Free Tuition for 4 years,"In-state students with family incomes of $75,000 or under and assets below $75,000.",FAFSA/CSS Profile deadline,https://finaid.umich.edu/types-aid/scholarships-grants
"University of Michigan, Ann Arbor",Shipman Scholarship,Merit Scholarship,"$32,000 to full out-of-state tuition",Outstanding academic and personal achievement. Highly selective.,No separate application,https://finaid.umich.edu/types-aid/scholarships-grants
"University of Michigan, Ann Arbor",Stamps Scholarship,Merit Scholarship,"Full cost of attendance + $10,000 enrichment fund","Top-tier incoming freshmen demonstrating leadership, perseverance, and service.",No separate application,https://finaid.umich.edu/types-aid/scholarships-grants
"University of Michigan, Ann Arbor",HAIL Scholarship,Institutional Grant,Full tuition and fees,"High-achieving, low-income students from Michigan.",No separate application,https://finaid.umich.edu/types-aid/scholarships-grants
University of Notre Dame,Hesburgh-Yusko Scholars Program,Merit Scholarship,"$25,000/year + summer funding","Outstanding academic achievement, leadership, and commitment to service.",No separate application,https://financialaid.nd.edu/types-of-aid/scholarships-grants/
University of Notre Dame,Stamps Scholars Program,Merit Scholarship,"Full tuition, room, board + $12,000 enrichment fund",Top-tier academic performance and demonstrated leadership.,No separate application,https://financialaid.nd.edu/types-of-aid/scholarships-grants/
University of Notre Dame,Notre Dame Scholars' Program,Merit Scholarship,Varies (up to full tuition),Approximately 25 different merit scholarship programs automatically considered for admitted students.,No separate application,https://financialaid.nd.edu/types-of-aid/scholarships-grants/
University of Notre Dame,Notre Dame University Scholarship,Need-Based Grant,Varies up to full cost,Meets 100% of demonstrated financial need for all admitted students.,Regular Decision deadline,https://financialaid.nd.edu/types-of-aid/scholarships-grants/
University of Southern California (USC),Mork Family Scholarship,Merit Scholarship,"Full tuition + $5,000 stipend",Top 1-2% of applicants demonstrating exceptional academic achievement and leadership.,Dec 1 (Must apply Early Action/by Merit deadline),https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Southern California (USC),Stamps Scholarship,Merit Scholarship,"Full tuition + $20,000 enrichment fund","Top applicants demonstrating leadership, perseverance, and service.",Dec 1,https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Southern California (USC),Trustee Scholarship,Merit Scholarship,Full tuition,Outstanding academic and leadership abilities.,Dec 1,https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Southern California (USC),Presidential Scholarship,Merit Scholarship,Half tuition,High academic achievement and leadership.,Dec 1,https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Southern California (USC),Dean's Scholarship,Merit Scholarship,Quarter tuition,Strong academic performance.,Dec 1,https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Southern California (USC),USC University Grant,Need-Based Grant,Varies (Free tuition for <$80k income),"Meets 100% of demonstrated need for domestic students. Free tuition for families earning under $80,000.",Regular Decision deadline,https://financialaid.usc.edu/undergraduates/prospective/scholarships.html
University of Virginia (UVA),Jefferson Scholars Program,Merit Scholarship,"Full tuition, room, board, and enrichment fund","Nomination by high school required. Exceptional leadership, scholarship, and citizenship.",Dec 1 (Nomination deadline),https://sfs.virginia.edu/financial-aid-new/scholarships-and-grants
University of Virginia (UVA),Walentas Scholars Program,Merit Scholarship,"Full tuition, room, and board","Outstanding first-generation college students from the Commonwealth of Virginia, NYC, Rochester NY, and Baltimore MD. Nomination required.",Dec 1 (Nomination deadline),https://sfs.virginia.edu/financial-aid-new/scholarships-and-grants
University of Virginia (UVA),AccessUVA / Need-Based Grant,Need-Based Grant,Varies up to full cost,Meets 100% of demonstrated need for all undergraduate students. Limits loans for high-need families.,March 1,https://sfs.virginia.edu/financial-aid-new/scholarships-and-grants
University of Virginia (UVA),Virginia Commonwealth Grants,State Grant,Varies,Virginia residents with demonstrated financial need.,March 1,https://sfs.virginia.edu/financial-aid-new/scholarships-and-grants
Vanderbilt University,Ingram Scholars Program,Merit Scholarship,Full tuition + stipend for summer project,Students who plan to combine a professional career with a lifetime commitment to community service/business. Requires separate application.,Dec 1,https://admissions.vanderbilt.edu/affordability/scholarships/
Vanderbilt University,Cornelius Vanderbilt Scholarship,Merit Scholarship,Full tuition + one-time stipend for study abroad/research,Outstanding academic achievement and leadership. Requires separate application.,Dec 1,https://admissions.vanderbilt.edu/affordability/scholarships/
Vanderbilt University,Chancellor's Scholarship,Merit Scholarship,Full tuition + one-time stipend for study abroad/research,"Students who have worked to build strong high school communities by bridging gaps among economically, socially, and racially diverse groups. Requires separate application.",Dec 1,https://admissions.vanderbilt.edu/affordability/scholarships/
Vanderbilt University,Opportunity Vanderbilt,Need-Based Grant,Varies up to full cost,Meets 100% of demonstrated financial need without loans for all admitted students.,Regular Decision deadline,https://admissions.vanderbilt.edu/affordability/scholarships/
Wake Forest University,Guy T. Carswell Scholarship,Merit Scholarship,Full cost of attendance + stipend,Outstanding academic and leadership achievement.,Nov 15,https://financialaid.wfu.edu/merit-scholarships/
Wake Forest University,Joseph G. Gordon Scholarship,Merit Scholarship,Full cost of attendance + stipend,Outstanding students who show exceptional promise and commitment to diversity.,Nov 15,https://financialaid.wfu.edu/merit-scholarships/
Wake Forest University,Nancy Susan Reynolds Scholarship,Merit Scholarship,Full cost of attendance + stipend,Students who possess unusual distinction in academics and leadership.,Nov 15,https://financialaid.wfu.edu/merit-scholarships/
Wake Forest University,Stamps Scholarship,Merit Scholarship,"Full cost of attendance + $3,400 enrichment fund","Top-tier academic performance, leadership, and perseverance.",Nov 15,https://financialaid.wfu.edu/merit-scholarships/
Wake Forest University,Wake Forest Need-Based Grant,Need-Based Grant,Varies up to full cost,Meets 100% of demonstrated financial need.,Regular Decision deadline,https://financialaid.wfu.edu/merit-scholarships/
Washington University in St. Louis (WashU),Danforth Scholars Program,Merit Scholarship,Half to full tuition,Students with a passion for community service and leadership. Requires nomination or separate application.,Jan 2,https://financialaid.wustl.edu/how-aid-works/scholarships-and-grants/
Washington University in St. Louis (WashU),John B. Ervin Scholars Program,Merit Scholarship,Partial to full tuition,"Students committed to diversity, leadership, and community service.",Jan 2,https://financialaid.wustl.edu/how-aid-works/scholarships-and-grants/
Washington University in St. Louis (WashU),Annika Rodriguez Scholars Program,Merit Scholarship,Partial to full tuition,Students with a commitment to the Latinx community and academic excellence.,Jan 2,https://financialaid.wustl.edu/how-aid-works/scholarships-and-grants/
Washington University in St. Louis (WashU),WashU Pledge,Need-Based Grant,"Full tuition, room, and board","Students from Missouri and Southern Illinois who are Pell Grant eligible or from families with incomes under $75,000.",Regular Decision deadline,https://financialaid.wustl.edu/how-aid-works/scholarships-and-grants/
Washington University in St. Louis (WashU),WashU Need-Based Grant,Need-Based Grant,Varies up to full cost,Meets 100% of demonstrated financial need without loans for undergraduate students.,Regular Decision deadline,https://financialaid.wustl.edu/how-aid-works/scholarships-and-grants/
William & Mary,1693 Scholars Program,Merit Scholarship,"In-state: full tuition, room/board; Out-of-state: partial",Top applicants demonstrating exceptional academic and extracurricular achievements.,No separate application,https://www.wm.edu/admission/financialaid/types/scholarships/
William & Mary,Monroe Scholars Program,Merit Scholarship,"$3,000 summer research stipend",Top 7% of admitted students with outstanding academic records.,No separate application,https://www.wm.edu/admission/financialaid/types/scholarships/
William & Mary,William & Mary Promise / Need-Based Grant,Need-Based Grant,Varies,Meets 100% of demonstrated financial need for in-state students.,March 1,https://www.wm.edu/admission/financialaid/types/scholarships/
William & Mary,Virginia Commonwealth Award,State Grant,Varies,Virginia residents demonstrating financial need.,March 1,https://www.wm.edu/admission/financialaid/types/scholarships/
