university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Brock University,St. Catharines,Goodman School of Business,BBA,Business Administration,4 Years,Pakistan HSSC/Intermediate with English and two senior academic mathematics subjects. Admission is competitive; Goodman School programs generally expect results comparable to the mid-to-high 80% range.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/business-administration/
Brock University,St. Catharines,Goodman School of Business,BBA/Partner Degree,Business Administration Co-op International Double Degree,4-4.5 Years,Pakistan HSSC/Intermediate with English and two senior academic mathematics subjects. Admission is competitive; Goodman School programs generally expect results comparable to the mid-to-high 80% range.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/business-administration-international/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Business Communication,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/business-communication/
Brock University,St. Catharines,Goodman School of Business,BBE,Business Economics,4 Years,Pakistan HSSC/Intermediate with English and two senior academic mathematics subjects. Admission is competitive; Goodman School programs generally expect results comparable to the mid-to-high 80% range.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/business-economics/
Brock University,St. Catharines,Faculty of Humanities,BA,Canadian Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/canadian-studies/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Chemistry,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/chemistry/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Child and Youth Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/child-and-youth-studies/
Brock University,St. Catharines,Faculty of Applied Health Sciences,BCH,Child Health,4 Years,"Pakistan HSSC/Intermediate with English and the program's required biology, chemistry and/or mathematics subjects. Competitive health programs generally expect results in the high 70s to mid 80s or above, with stated prerequisite minimums.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/child-health/
Brock University,St. Catharines,Faculty of Humanities,BA,Classics,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/classics/
Brock University,St. Catharines,Faculty of Applied Health Sciences,BA,Community Health,3 Years,"Pakistan HSSC/Intermediate with English and the program's required biology, chemistry and/or mathematics subjects. Competitive health programs generally expect results in the high 70s to mid 80s or above, with stated prerequisite minimums.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/community-health/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Computer Science,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/computer-science/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc/BSc,Computer Science International Double Degree,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/computer-science/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Computer Science and Mathematics,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/computer-science-and-mathematics/
Brock University,St. Catharines,Faculty of Mathematics and Science / Goodman School of Business,BCB,Computing and Business,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/computing-and-business/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Critical Criminology,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/critical-criminology/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Data Sciences and Analytics,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/data-sciences-and-analytics/
Brock University,St. Catharines,Faculty of Humanities,BA,Dramatic Arts,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/dramatic-arts/
Brock University,St. Catharines,Faculty of Education,BECE,Early Childhood Education,2.5 Years after ECE diploma; online,"Advanced-entry or professional pathway. Applicants must hold the specified college diploma, university degree, professional qualification or work experience and meet Brock's transfer and program-specific admission requirements; HSSC alone is not sufficient.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/early-childhood-education-2/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Earth and Planetary Science Communication,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/earth-and-planetary-science-communication/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Earth Sciences,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/earth-sciences/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Economics,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/economics/
Brock University,St. Catharines,Faculty of Education,BA,Educational Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/educational-studies/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Environmental Sustainability,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/environmental-sustainability/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Forensic Psychology and Criminal Justice,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/forensic-psychology-and-criminal-justice/
Brock University,St. Catharines,Faculty of Humanities,BA,French Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/french-studies/
Brock University,St. Catharines,Faculty of Humanities,BA,Game Design,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/game-design/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Game Programming,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/game-programming/
Brock University,St. Catharines,Faculty of Humanities,BA,General Humanities,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/general-humanities/
Brock University,St. Catharines,Faculty of Humanities,BA,German,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/german/
Brock University,St. Catharines,Faculty of Humanities,BA,Hispanic and Latin American Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/hispanic-and-latin-american-studies/
Brock University,St. Catharines,Faculty of Humanities,BA,History,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/history/
Brock University,St. Catharines,Faculty of Education,BA,Indigenous Educational Studies,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/indigenous-adult-education-and-native-teacher-education/
Brock University,St. Catharines,Yousef Haj-Ahmad Department of Engineering,BEng,Integrated Engineering,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Engineering, with English, Advanced Functions or Calculus-equivalent mathematics, chemistry and physics. Required prerequisite subjects normally need at least 70%; Integrated Engineering admission is highly competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/integrated-engineering/
Brock University,St. Catharines,Faculty of Humanities,BA,Interactive Arts and Digital Media,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/interactive-arts-and-digital-media/
